fecha,h0,hf,pluvio,observador,fechahora,duracion,conico
2017-10-18,11,18,23.0,IVAN,2017-10-18 11:00:00,7,
2017-10-23,23_22102017,1,2.0,DIEGO,2017-10-22 23:00:00,2,
2017-10-25,13,13,1.6,NATALIO,2017-10-25 13:00:00,0,
2017-10-26,12,12,1.0,NATALIO,2017-10-26 12:00:00,0,
2017-11-03,12,12,44.0,DIEGO,2017-11-03 12:00:00,0,
2017-11-04,15,16,16.0,NATALIO,2017-11-04 15:00:00,1,
2017-11-05,14,15,2.6,NATALIO,2017-11-05 14:00:00,1,
2017-11-11,7,11,3.8,DIEGO,2017-11-11 07:00:00,4,
2017-11-14,21,22,2.6,NATALIO,2017-11-14 21:00:00,1,
2017-11-15,14,14,2.0,NATALIO,2017-11-15 14:00:00,0,
2017-11-26,16,16,6.6,NATALIO,2017-11-26 16:00:00,0,
2017-11-28,9,11,2.5,IVAN,2017-11-28 09:00:00,2,
2017-11-29,1,5,16.8,IVAN,2017-11-29 01:00:00,4,
2017-12-03,13,17,13.4,DIEGO,2017-12-03 13:00:00,4,
2017-12-04,9,14,6.8,DIEGO,2017-12-04 09:00:00,5,
2017-12-05,21_04122017,4,12.0,NATALIO,2017-12-04 21:00:00,7,
2017-12-06,21,22,12.0,NATALIO,2017-12-06 21:00:00,1,
2017-12-07,20,21,8.0,NATALIO,2017-12-07 20:00:00,1,
2017-12-08,13,14,5.8,EDGAR,2017-12-08 13:00:00,1,
2017-12-08,16,18,3.4,EDGAR,2017-12-08 16:00:00,2,
2017-12-09,11,13,4.4,EDGAR,2017-12-09 11:00:00,2,
2017-12-09,17,18,0.1,EDGAR,2017-12-09 17:00:00,1,
2017-12-18,8,11,2.8,IVAN,2017-12-18 08:00:00,3,
2017-12-20,11,13,1.4,DIEGO,2017-12-20 11:00:00,2,
2017-12-20,16,21,4.0,DIEGO,2017-12-20 16:00:00,5,
2017-12-21,10,12,7.0,DIEGO,2017-12-21 10:00:00,2,
2017-12-21,15,19,4.0,DIEGO,2017-12-21 15:00:00,4,
2017-12-22,0,5,2.6,DIEGO,2017-12-22 00:00:00,5,
2017-12-22,18,20,1.6,DIEGO,2017-12-22 18:00:00,2,
